user_id,follower_len,follows_len,tweets_len
21413,1,26,
21633,21,16,
22253,210,2,
22273,14,2,
22453,33,171,
24263,39,91,
24493,17,55,
24583,3,24,
24593,4,82,
24763,33,11,
24773,3,67,
25083,1,54,
25993,112,22,
26283,1,12,
26743,91,25,
28043,16,10,
28163,46,8,
29803,5,10,
30863,68,8,
30923,51,2,
30973,79,11,
31203,107,5,
31393,36,142,
31693,21,15,
32143,8,17,
32213,5,25,
32823,12,4,
33033,19,3,
33063,46,5,
33233,33,34,
33363,44,8,
33423,198,5,
33883,4,142,
33923,97,2,
34153,28,108,
34163,33,6,
34193,8,5,
34543,36,56,
35233,3,3,
35253,29,58,
35293,65,86,
35383,80,164,
35623,73,25,
35943,35,28,
36183,67,18,
36243,1,6,
36253,68,1,
36323,18,14,
36823,158,19,
36963,23,13,
38073,15,31,
38353,77,36,
39613,23,543,
40153,12,13,
41553,52,6,
41693,34,178,
41713,118,8,
43083,28,137,
43273,23,6,
43553,54,29,
43943,12,5,
44343,26,16,
44423,14,130,
45673,87,45,
46023,34,75,
46053,40,51,
47293,6,80,
48093,6,1,
48263,65,111,
48443,7,20,
48473,30,336,
48833,4,6,
48903,85,11,
49533,17,76,
49583,76,18,
49793,38,7,
50193,10,79,
50373,50,42,
51063,4,93,
51123,24,44,
51303,80,47,
51383,13,53,
51573,66,1,
52953,49,9,
53253,1,29,
54743,11,16,
55113,14,39,
55963,32,62,
56623,69,29,
56903,1,5,
57433,1,7,
58063,51,3,
58213,5,57,
59003,3,12,
59213,1,6,
60033,87,29,
60273,64,3,
60463,48,98,
60763,1,19,
61133,259,59,
62103,5,67,
63893,3,7,
64543,20,19,
65673,177,5,
67763,1,25,
68003,64,59,
68033,27,3,
68163,8,57,
68513,30,47,
68953,17,3,
70053,16,18,
70723,18,16,
70923,88,2,
71573,5,20,
71713,28,19,
71903,11,11,
72023,6,1,
72373,56,12,
72903,14,22,
73843,15,4,
74233,81,40,
74523,34,2,
74673,53,151,
75093,65,255,
75493,31,34,
75533,34,1,
76093,12,368,
76133,37,4,
77483,22,3,
78413,8,24,
78453,139,191,
78813,241,3,
79043,11,86,
80523,41,17,
80703,23,7,
80943,19,18,
81093,5,3,
82243,55,6,
82433,86,20,
82533,17,51,
92623,129,15,
99843,20,11,
100363,5,39,
105223,27,5,
109023,2,4,
111743,60,21,
113963,6,11,
125033,4,24,
128163,7,80,
143303,40,59,
145313,34,20,
148943,2,32,
151933,45,25,
174853,36,19,
179453,12,15,
183813,8,20,
202003,107,21,
222723,2,2,
223373,9,212,
224393,10,23,
229523,89,6,
253973,16,18,
254073,2,15,
279713,15,11,
286703,7,5,
287713,10,39,
302173,15,86,
305413,22,43,
311893,11,69,
327123,39,20,
328073,59,4,
336343,49,23,
343773,21,3,
355203,17,4,
356663,21,51,
356963,134,5,
376363,22,7,
389153,97,18,
399933,20,26,
407403,6,3,
409823,21,44,
412963,9,111,
420183,6,4,
421683,49,3,
425793,3,150,
428333,65,6,
432093,3,10,
434883,10,7,
453963,13,74,
460493,3,15,
465973,2,90,
468693,42,18,
471323,38,20,
471963,24,12,
481453,66,10,
509323,36,16,
524463,47,12,
545543,1,34,
552733,31,23,
579703,3,11,
583883,26,4,
588743,6,12,
601283,34,16,
606083,3,20,
606983,21,58,
607063,4,9,
607193,47,84,
607433,27,17,
608853,6,1,
608993,34,24,
610533,199,4,
611023,4,6,
611823,46,27,
612473,77,3,
613313,94,1231,
615183,1,6,
615213,12,7,
615723,31,25,
615813,31,3,
616253,51,111,
616723,10,19,
616843,54,34,
617133,7,19,
617243,22,72,
617423,22,24,
618413,12,53,
618593,163,2,
619423,3,30,
620863,61,1,
621523,6,19,
621533,17,6,
621713,37,28,
622313,22,7,
623523,12,18,
623623,113,5,
624413,2,41,
624473,47,28,
624683,60,17,
626103,26,1,
626183,16,5,
626373,59,6,
626433,76,16,
626973,24,3,
627213,10,374,
627303,25,4,
627363,59,72,
629433,21,72,
629463,4,17,
629743,12,5,
629863,171,2,
631503,49,23,
632023,32,22,
632343,5,33,
633483,96,5,
633523,91,140,
634163,21,22,
634563,70,49,
635523,31,2,
636483,24,7,
636833,6,5,
636893,31,322,
636923,51,2,
637013,3,7,
637293,5,10,
637373,19,20,
637533,8,142,
637763,35,35,
638203,11,16,
638323,37,8,
639013,27,10,
639643,59,5,
641043,7,57,
641333,46,10,
641433,88,28,
643443,2,25,
643613,58,73,
643653,187,12,
644463,36,9,
644603,12,70,
646533,53,31,
646893,6,25,
646943,1,32,
647223,42,33,
647473,33,13,
647633,6,8,
648523,50,6,
648873,24,1,
650013,1,22,
651273,17,35,
652193,103,5,
652293,16,108,
652633,8,101,
653623,6,21,
653943,4,36,
654163,29,23,
655613,46,4,
656673,113,2,
656933,5,21,
657393,13,143,
657863,147,3,
658353,54,4,
658643,59,11,
660633,23,4,
661163,8,23,
661403,56,6,
661473,1,42,
662323,9,30,
662423,13,120,
662433,8,19,
662533,17,24,
663273,1,121,
663463,29,52,
666043,62,63,
666073,77,320,
666523,4,28,
667563,22,16,
668243,97,175,
668253,29,67,
668423,27,2,
668473,60,28,
668793,21,36,
670843,25,14,
671093,1,1,
671593,7,49,
672483,7,110,
673123,28,1,
673413,21,1,
673703,30,1,
674873,36,15,
675623,22,185,
676063,4,53,
678033,38,8,
678083,15,9,
678953,137,4,
679193,17,17,
680013,1,1,
680373,4,16,
681333,20,161,
681813,46,5,
682463,109,16,
683113,15,831,
684983,89,30,
685513,3,37,
687613,26,24,
688483,21,5,
689273,2,130,
689423,13,2,
690083,50,3,
690463,3,12,
690623,1,24,
690973,3,22,
691353,49,3,
691633,61,35,
692513,23,72,
693193,10,138,
693803,7,2,
694613,21,23,
695463,22,103,
695603,12,42,
695933,1,25,
696163,27,44,
696333,80,12,
696453,8,14,
697163,22,49,
699723,93,10,
701163,1,8,
702333,16,76,
702773,2,17,
704853,6,16,
705663,60,37,
706623,2,3,
707123,15,6,
709063,17,22,
709143,6,16,
709503,4,22,
710143,21,141,
710563,45,42,
712763,3,4,
712783,24,4,
713143,48,3,
713263,93,12,
714033,43,13,
714383,23,239,
716983,5,145,
717233,4,8,
717313,16,5,
718673,4,73,
719043,46,54,
720503,2,1,
720843,21,14,
720933,5,22,
723013,43,2,
723463,1,2,
723713,29,11,
724063,20,36,
725213,17,5,
725363,8,1,
726273,7,4,
727813,13,91,
728163,26,39,
729303,3,20,
729733,14,7,
730593,36,6,
730833,30,7,
731823,2,27,
732073,93,4,
732773,70,3,
733813,18,14,
734343,6,83,
734353,26,10,
734493,12,19,
734753,1,40,
734903,12,3,
735983,9,9,
736293,21,6,
736333,18,13,
737023,4,1,
739223,31,30,
739773,3,4,
740983,50,10,
742143,57,11,
742713,15,2,
743763,26,1,
744073,34,2,
744313,37,4,
744623,16,48,
744903,20,1,
745553,12,12,
745823,249,32,
746323,152,89,
747863,39,50,
749453,77,20,
749463,11,3,
749863,156,2,
749963,38,11,
752673,76,221,
753223,2,10,
753393,7,23,
753963,10,2,
754556,70,50,
754613,9,4,
754655,46,28,
754899,6,3,
754928,22,10,
755035,27,16,
755068,88,4,
755165,50,8,
755346,34,8,
755431,25,13,
755452,1,16,
755603,17,3,
755756,147,10,
755859,18,24,
755959,7,14,
756126,11,4,
756145,5,101,
756242,5,21,
756278,83,49,
756379,85,4,
756475,53,25,
756559,5,208,
756596,60,17,
756742,4,15,
756975,60,9,
756977,33,27,
757502,3,18,
758185,26,3,
759003,194,5,
759147,65,53,
759251,221,2,
759290,32,5,
759679,119,90,
759948,41,20,
761032,27,200,
761128,1,1,
761290,67,10,
761975,52,2,
763446,21,16,
763549,46,17,
763699,23,31,
763803,8,12,
763877,3,18,
763986,10,7,
764464,4,17,
765285,15,71,
765548,7,1,
765694,52,45,
765845,17,58,
766077,3,9,
766195,23,485,
766298,5,100,
766347,13,136,
767334,16,3,
767396,182,3,
767809,2,7,
768058,62,65,
768197,33,21,
768382,11,6,
768659,10,3,
768783,41,25,
769101,22,11,
769584,51,24,
769999,5,16,
770391,3,285,
770545,14,35,
770729,23,5,
770759,1,1,
771619,116,203,
771712,67,8,
772390,31,12,
772412,6,137,
772471,5,64,
772763,11,6,
772796,7,68,
772844,1,5,
773003,5,3,
773220,11,14,
773314,23,147,
773450,18,52,
773710,41,73,
773762,30,6,
774096,98,19,
774280,33,2,
775336,17,52,
775622,30,21,
776031,7,13,
776434,92,5,
776623,7,4,
777859,14,16,
777908,52,224,
777925,70,54,
778057,24,652,
778325,21,20,
778446,194,6,
778518,18,2,
778571,53,6,
778602,2,6,
779112,12,1,
779210,8,1,
779715,186,183,
780050,34,55,
780155,11,5,
780459,16,3,
780561,4,20,
781568,17,16,
781674,48,19,
781730,21,5,
781886,7,4,
781929,43,3,
782310,5,11,
782329,42,2,
782571,47,1,
782622,5,1,
782757,5,1,
782912,58,1,
783032,1,5,
783214,101,17,
783297,6,30,
783374,29,47,
783573,7,2,
783675,19,9,
783682,2,5,
783705,18,14,
783837,2,10,
784078,14,219,
784290,10,7,
784304,56,9,
784519,8,50,
784912,118,11,
785088,16,3,
785133,78,21,
785347,2,35,
785555,40,64,
785645,10,2,
785766,2,2,
786148,62,11,
786764,35,19,
786981,16,10,
786983,64,84,
787239,21,12,
787489,10,8,
787531,7,22,
787555,9,4,
787864,18,8,
788245,6,5,
788250,67,8,
788524,13,2,
788670,27,10,
789068,69,10,
789071,149,15,
789172,9,11,
789286,27,36,
789314,10,4,
789658,37,168,
789747,55,56,
790036,22,16,
790205,221,43,
790302,9,6,
790577,1,75,
791124,89,8,
791529,36,16,
791878,48,22,
792007,10,54,
792537,62,44,
792659,2,22,
792690,108,222,
792738,11,12,
792907,48,2,
792998,6,43,
793219,47,9,
793351,13,13,
793830,166,1,
794069,22,134,
794136,44,4,
794186,16,98,
794340,26,11,
794436,54,3,
794806,3,14,
794808,4,16,
795025,5,1,
795244,37,13,
795360,11,43,
795536,7,23,
795643,1,13,
795649,92,35,
795881,36,4,
796135,12,59,
796155,68,4,
796317,79,14,
796605,46,6,
796742,150,25,
798184,9,3,
798200,37,1167,
798556,57,2,
799212,101,20,
799316,25,7,
799640,7,7,
799645,68,2,
799802,13,41,
799864,26,6,
799929,36,8,
800316,1,4,
800437,2,121,
801057,25,7,
801547,24,1,
801750,7,200,
802066,10,12,
802093,36,56,
802932,14,8,
803663,50,9,
803883,24,4,
804100,4,4,
804261,6,49,
804268,29,30,
804416,23,4,
805066,12,26,
805215,5,19,
805254,40,11,
805311,31,10,
805339,1,12,
806133,19,2,
806170,21,13,
806283,60,5,
806720,20,38,
806946,3,1,
807095,149,27,
807122,9,28,
807360,9,100,
808627,76,2,
808824,26,13,
809010,67,31,
809226,7,10,
809512,20,30,
809760,65,32,
809768,1,4,
809864,249,13,
810099,13,3,
810424,8,3,
810583,21,9,
811027,15,4,
811087,68,147,
811213,2,39,
811303,14,19,
811350,45,3,
811377,6,8,
811433,2,47,
812126,34,4,
812455,10,104,
812681,1,13,
812804,68,30,
813232,24,6,
813286,1111,10,
813491,43,21,
813637,12,27,
814153,5,246,
814253,168,20,
814256,42,15,
814304,55,11,
814306,40,14,
814316,2,2,
814693,4,40,
814760,4,61,
814859,22,4,
815411,32,24,
815587,38,3,
815994,118,41,
816166,39,10,
816214,124,8,
816388,70,2,
816532,57,70,
816642,34,19,
816653,89,16,
816658,9,41,
816954,18,36,
817094,5,51,
817113,63,135,
817166,23,7,
817268,318,36,
817288,212,23,
817977,46,106,
818155,35,20,
818340,72,7,
818489,4,64,
818647,57,5,
819139,4,1,
819253,17,7,
819268,55,28,
819284,52,3,
819466,28,2,
819797,126,39,
819800,91,12,
819833,12,1,
819869,4,6,
819999,58,32,
820025,14,1,
820281,17,13,
820485,2,2,
820585,85,38,
820633,14,9,
821042,1,4,
821110,19,6,
821142,16,42,
821193,65,10,
821449,20,7,
821584,23,1,
821643,26,6,
821958,61,16,
822030,19,26,
822110,14,66,
822280,20,9,
822284,23,38,
822382,71,8,
822655,45,49,
823083,18,7,
823098,25,15,
823129,121,5,
823234,33,750,
823360,13,6,
823525,21,7,
823615,79,117,
824157,104,20,
824168,169,72,
833071,27,5,
833571,95,29,
835261,16,269,
835871,19,6,
838501,13,50,
839321,14,14,
841791,16,24,
842291,32,7,
843581,24,17,
849101,62,13,
849131,117,57,
852041,53,2,
852251,81,14,
852301,32,39,
853521,21,49,
854291,40,2,
855741,77,36,
856101,51,8,
856731,43,1,
858051,145,61,
858071,4,16,
859061,45,2647,
859441,4,38,
859671,4,10,
861201,22,2,
862481,16,32,
862681,128,4,
863101,33,130,
865381,38,10,
865561,2,129,
869201,7,28,
871411,18,5,
873131,51,5,
873411,10,4,
875511,15,82,
877421,35,24,
877491,12,26,
878051,28,88,
879521,41,18,
883301,36,240,
883371,28,50,
883761,9,22,
884301,3,24,
885321,44,852,
885611,22,13,
890831,29,12,
891371,20,5,
892061,22,64,
892821,15,28,
894601,29,242,
896061,2,145,
897351,3,198,
898371,2,33,
899701,108,69,
901651,14,29,
905851,22,6,
906191,2,71,
911371,14,6,
917131,13,5,
917321,45,52,
922011,10,15,
923811,45,24,
925161,6,4,
925191,1,47,
926111,13,79,
926981,204,7,
927061,3,9,
928961,9,106,
930061,141,3,
933201,36,30,
934681,11,2,
935001,21,67,
935221,23,3,
936861,20,5,
937421,24,13,
939091,2,14,
940631,13,39,
942671,10,14,
944541,1,16,
944731,9,19,
945911,3,65,
949161,5,12,
949521,179,17,
950371,49,20,
951041,1,19,
956501,24,58,
962631,53,12,
963121,27,38,
965091,47,46,
969431,20,66,
969441,63,11,
972651,290,9,
974411,9,16,
976521,44,78,
978241,44,3,
978741,20,5,
979061,11,66,
979811,59,87,
982601,19,22,
983991,1,99,
985401,8,19,
987681,38,20,
988911,69,11,
990711,13,66,
991211,10,25,
991221,63,40,
992031,51,17,
995051,26,20,
1000591,101,117,
1002351,24,73,
1008591,52,50,
1010181,51,50,
1012891,12,24,
1014371,7,18,
1018211,9,9,
1018921,18,70,
1020161,2,14,
1020961,13,12,
1024471,20,123,
1025311,11,3,
1026321,8,13,
1027701,9,3,
1028401,4,12,
1029511,10,20,
1031121,27,55,
1033521,12,313,
1034621,3,18,
1035491,91,1,
1042101,18,25,
1043241,30,1,
1044591,42,5,
1044771,32,12,
1045141,30,28,
1045521,163,7,
1045751,71,11,
1046661,144,26,
1046791,18,7,
1047311,24,28,
1047451,35,51,
1047961,24,29,
1048651,17,17,
1048661,47,29,
1048951,16,6,
1049111,31,21,
1049981,30,17,
1050111,60,31,
1052741,8,22,
1053221,5,14,
1053901,4,6,
1054621,6,9,
1057431,8,16,
1059801,3,9,
1060121,23,3,
1064051,60,3,
1064311,5,5,
1065921,465,1,
1066011,4,67,
1068831,4,1,
1070541,18,8,
1072591,217,6,
1074431,60,6,
1075871,21,9,
1077971,68,1,
1080461,3,19,
1088601,40,68,
1088901,22,1,
1090141,90,27,
1090221,5,3,
1090561,3,3,
1095691,42,9,
1097161,21,111,
1100661,39,6,
1105741,1,2,
1106501,79,47,
1112661,13,242,
1114911,8,44,
1116721,47,7,
1117341,52,12,
1117901,40,20,
1118161,32,15,
1118451,42,13,
1118691,1,20,
1118781,39,32,
1122761,13,26,
1124531,37,1,
1124601,3,1,
1125681,47,3,
1126941,3,5,
1128141,1,332,
1129781,5,13,
1132291,28,2,
1132461,45,7,
1133701,15,51,
1133971,71,17,
1134701,214,140,
1136351,65,5,
1140451,20,34,
1143031,27,1315,
1146211,5,3,
1150571,28,37,
1154511,26,44,
1157651,5,1,
1159201,1,26,
1173281,3,5,
1173831,23,95,
1175221,111,1,
1175321,42,1,
1179471,4,23,
1182381,5,36,
1183041,174,54,
1193301,2,9,
1194401,49,9,
1198071,5,69,
1198481,38,19,
1198931,5,12,
1199081,5,243,
1206221,9,18,
1211311,65,53,
1211791,5,27,
1216291,39,18,
1221471,22,4,
1222621,7,5,
1223101,8,20,
1225461,10,2,
1230801,5,12,
1232601,8,1,
1233111,47,6,
1233821,13,12,
1235521,5,13,
1239301,7,11,
1239671,55,5,
1239741,52,3,
1241441,98,19,
1242511,62,10,
1247691,109,3,
1249431,90,126,
1249631,34,7,
1249751,19,46,
1249881,57,49,
1250991,39,33,
1252851,58,45,
1254381,10,182,
1255151,6,21,
1257141,14,162,
1258391,37,30,
1259861,21,6,
1265091,10,45,
1268821,139,10,
1269251,36,15,
1270041,23,60,
1270191,18,7,
1271901,238,22,
1277041,36,20,
1277441,32,31,
1282781,90,2,
1285451,12,3,
1289661,39,10,
1294231,96,5,
1294741,150,3,
1295001,65,20,
1303241,4,43,
1303431,3,57,
1305941,49,15,
1310331,12,406,
1311951,11,4,
1312041,31,22,
1315011,48,4,
1317661,22,14,
1317671,84,185,
1319131,3,59,
1321791,38,27,
1322691,4,41,
1337871,3,1,
1338871,13,3,
1338891,34,44,
1344951,121,11,
1352501,10,73,
1361611,3,3,
1364571,17,5,
1367531,239,23,
1370761,10,25,
1371101,10,33,
1372501,11,1,
1374411,48,92,
1375251,9,45,
1376731,1,72,
1378711,1,5,
1378831,9,55,
1385211,39,41,
1385281,20,16,
1389501,13,16,
1389951,1,39,
1391841,4,14,
1397311,3,48,
1399231,19,4,
1401881,21,26,
1403031,30,2,
1405071,171,51,
1422311,234,3,
1424001,22,2,
1429761,1,7,
1431781,14,14,
1434051,7,57,
1434251,28,12,
1435461,129,69,
1436461,58,170,
1436851,19,14,
1438651,15,55,
1439931,90,8,
1440641,15,20,
1442101,39,214,
1444031,8,3,
1445811,8,15,
1445981,28,18,
1446691,10,10,
1447851,3,2,
1451701,32,3,
1451811,8,19,
1452261,42,122,
1454021,6,30,
1455001,40,6,
1455911,59,1,
1461211,37,1632,
1465481,14,1,
1467951,24,5,
1468401,3,43,
1468951,20,9,
1469741,12,92,
1471021,15,3,
1472021,55,60,
1473101,51,8,
1476651,33,41,
1478151,15,10,
1478471,28,21,
1487601,31,10,
1489691,51,6,
1491971,38,13,
1493121,51,5,
1496001,13,2,
1496911,13,16,
1501471,115,7,
1502111,10,44,
1502501,41,2,
1504011,89,16,
1507651,6,8,
1511081,7,11,
1516611,24,62,
1521221,6,23,
1521851,55,73,
1523501,43,106,
1526641,12,80,
1527091,48,9,
1530531,9,49,
1531101,1,36,
1533411,46,10,
1534321,3,33,
1536811,20,26,
1540191,28,49,
1541461,6,3,
1548841,190,3,
1550461,59,12,
1557761,11,11,
1559991,9,41,
1562791,31,9,
1562971,110,83,
1563671,17,8,
1564371,25,14,
1565041,65,104,
1566521,34,43,
1566661,36,19,
1570481,10,14,
1578141,7,29,
1579391,13,39,
1581511,3,29,
1584511,2,46,
1584901,30,51,
1586501,124,9,
1586811,18,46,
1586871,11,168,
1589321,10,124,
1589691,2,1,
1592301,7,2,
1593581,36,4,
1594021,6,268,
1594311,7,4,
1594501,4,4,
1608991,206,22,
1612021,28,54,
1617891,12,15,
1620241,39,59,
1628691,58,4,
1633681,42,40,
1635121,41,7,
1642921,5,3,
1647621,9,5,
1647911,4,9,
1652541,4,736,
1652731,38,9,
1656891,1,3,
1657131,13,15,
1658561,1,6,
1660111,22,80,
1665531,23,3,
1671811,42,7,
1673911,3,23,
1678441,1,66,
1678471,30,7,
1679071,8,6,
1681531,1,3,
1688171,4,10,
1688461,81,32,
1688741,55,11,
1689421,14,7,
1689591,11,3,
1692881,39,6,
1699641,24,3,
1699881,10,22,
1701921,1,5,
1702611,116,22,
1702731,36,16,
1705871,9,208,
1711451,3,140,
1712051,59,47,
1714321,3,1,
1714531,33,32,
1715051,107,16,
1717291,44,7,
1729441,59,161,
1732641,18,220,
1737011,70,53,
1737401,15,9,
1747331,22,7,
1747381,11,65,
1749311,14,99,
1749721,8,66,
1753061,18,17,
1754641,35,10,
1758271,22,12,
1761951,20,10,
1764571,5,1,
1764931,19,14,
1765921,14,22,
1766701,124,33,
1767741,30,4,
1768351,30,20,
1769191,14,41,
1769391,40,1,
1769551,121,21,
1774391,79,18,
1774501,3,12,
1775731,46,22,
1775861,93,39,
1779201,102,16,
1780551,12,26,
1780771,4,5,
1786101,10,48,
1793451,18,1,
1796811,27,26,
1797531,52,7,
1801791,25,25,
1806821,14,8,
1807861,11,57,
1808381,15,43,
1809871,9,51,
1822401,1,56,
1827071,6,19,
1833561,25,10,
1835411,102,85,
1837051,58,15,
1838691,9,42,
1841531,4,1,
1841791,1,204,
1847381,30,14,
1857421,5,8,
1859811,76,19,
1859981,1,7,
1864381,21,60,
1874321,11,29,
1876801,22,10,
1877831,24,37,
1879831,123,4,
1880781,122,7,
1881521,14,8,
1885511,36,47,
1889301,2,3,
1891381,106,83,
1899161,189,3,
1899531,2,1,
1903371,15,4,
1904751,7,5,
1907971,11,53,
1910771,41,12,
1916151,3,8,
1916901,31,7,
1917731,23,103,
1919231,29,5,
1919521,19,62,
1922861,11,47,
1925661,8,14,
1930311,75,26,
1937751,151,9,
1938911,4,6,
1939101,6,1,
1940251,15,99,
1951731,7,17,
1956441,3,19,
1956601,26,202,
1962961,22,33,
1963821,9,10,
1966141,19,18,
1967871,16,5,
1972761,25,6,
1975721,21,42,
1976611,12,2,
1976841,111,3,
1979111,4,4,
1979391,1,105,
1979921,52,46,
1980271,42,13,
1983611,27,40,
1984701,5,75,
1985381,1,53,
1995371,6,41,
2006261,67,3,
2008761,30,14,
2009991,107,3,
2011081,6,153,
2014851,5,103,
2015141,25,2,
2017511,115,11,
2018311,27,1,
2020351,29,26,
2022341,6,30,
2023641,16,87,
2024911,54,5,
2025281,2,2,
2029191,44,34,
2029971,149,15,
2030711,8,1,
2034901,35,1,
2039761,38,2,
2044751,13,123,
2046991,7,46,
2049781,12,12,
2050661,17,16,
2050831,16,35,
2053051,31,74,
2054511,52,9,
2057421,1,20,
2059301,32,248,
2060471,18,6,
2060631,89,11,
2064501,7,2,
2065521,47,74,
2078071,11,2,
2083821,10,22,
2083961,15,304,
2085511,1,88,
2086061,2,1,
2086511,8,2,
2087371,9,28,
2097571,231,17,
2100521,77,58,
2106161,14,15,
2109381,28,31,
2110061,2,54,
2115091,41,17,
2118651,11,7,
2120621,1,19,
2137251,2,84,
2138441,5,26,
2138681,10,11,
2139211,6,12,
2140521,8,6,
2141321,64,14,
2142731,23,19,
2146141,13,58,
2148071,123,61,
2151021,33,33,
2153241,31,23,
2154171,32,67,
2154361,3,89,
2155811,3,167,
2156951,32,3,
2157421,24,241,
2158461,90,32,
2168741,1,102,
2173361,12,9,
2182641,10,3,
2184161,26,3,
2184401,45,8,
2195241,44,15,
2206131,16,14,
2210521,10,39,
2215371,29,1,
2217251,21,19,
2223571,21,9,
2224331,45,5,
2225871,1,12,
2228471,12,7,
2230831,25,2,
2230871,144,7,
2232241,71,1,
2241411,95,19,
2243291,4,1,
2248211,42,228,
2253441,4,18,
2254561,53,5,
2257971,77,2,
2260771,55,2,
2269701,42,27,
2269731,3,4,
2271071,4,63,
2276201,15,4,
2295061,7,15,
2303441,17,9,
2308191,43,3,
2317861,93,67,
2317921,64,188,
2319611,12,60,
2324551,7,5,
2331211,17,16,
2334221,37,4,
2341001,19,66,
2349251,11,112,
2351661,53,1,
2354291,11,15,
2359881,31,5,
2361341,11,6,
2363571,49,7,
2363641,28,50,
2363721,62,1,
2363991,228,57,
2365831,85,12,
2366121,37,49,
2366281,47,29,
2367911,337,129,
2373871,1,3,
2377761,2,74,
2384071,141,78,
2386761,2,2,
2387401,5,1,
